0,1,2,3,4,5,6,7,8,9,10,11,12
0.048143707,-0.22290654,0.049404234,2.52641,-0.10888252,2.481502,4.735871,0.23072605,0.85688245,-0.009615809,0.13158534,0.22363,1.0458947
0.09622715,-0.073857546,-0.34068626,2.785754,-0.18581921,2.534854,5.2375636,0.036666095,0.8096563,0.102270015,0.22876874,0.040051818,1.0603462
0.02630696,-0.041378543,-0.26625234,2.6601284,-0.16422957,2.5690398,5.2188535,-0.00262174,0.73314357,0.10273856,0.08836114,0.12876332,0.99079686
0.013361275,-0.0635069,-0.3738097,2.8089085,-0.34022,2.6698425,5.4926376,-0.06500137,0.82543755,0.14101556,0.16360958,0.0789845,1.0324885
0.10192835,-0.07146945,-0.3014402,2.1753736,-0.2538412,2.0031836,4.9402742,-0.07496986,0.43494412,0.18379615,0.13010997,0.07414164,0.61127526
0.2213526,-0.027041942,-0.18996891,2.1110172,-0.1278359,2.057987,4.529168,-0.01642093,0.4180827,0.15443276,0.23528758,0.12205082,0.7064585
0.04625261,0.09854196,-0.24822602,2.1225927,-0.16922498,1.9267901,4.6941037,-0.041027837,0.3215346,-0.0027083158,0.24943641,-0.061065946,0.4708415
0.20000415,-0.022632718,-0.26169658,1.9517204,-0.2653358,1.9596906,4.704128,0.0073238015,0.28302604,0.07781801,0.28744698,0.14881314,0.44533968
0.28900963,-0.0396792,-0.15109408,1.7651027,-0.13742556,1.761065,4.412134,-0.019845426,0.19604266,0.12567644,0.17267881,0.20686454,0.3537236
0.24381143,-0.042250097,0.005910933,1.2077756,-0.13906243,1.4906819,3.7587442,-0.09122029,-0.23234005,0.039098427,0.007219769,0.040390998,0.018894762
0.21571577,0.05802715,-0.09061666,1.1303251,-0.11365047,1.4353796,3.838374,-0.12296641,-0.2247447,0.06345506,0.14346464,0.1086086,-0.048288286
0.1852501,-0.0233652,-0.012488335,1.0989944,-0.1031663,1.3248904,3.847404,-0.097476795,-0.30119807,0.00898093,0.043398947,0.024938494,-0.07474512
0.25076252,0.021054983,-0.03230205,0.9840852,-0.20712398,1.2692955,3.8015478,-0.19723037,-0.39931014,0.0039536506,0.06302717,0.032503515,-0.28355235
0.25855735,0.114015356,-0.03363988,0.88356584,-0.13771147,1.0444049,3.750227,-0.27379203,-0.43035564,0.014357418,0.004056856,0.07683793,-0.47332674
0.14874305,-0.19533828,0.08906856,0.32931948,0.09879288,0.429554,2.617065,-0.18420216,-0.7595693,0.019927979,-0.013130367,0.12183663,-0.64061105
0.3475597,-0.19686148,0.10040561,0.5272263,-0.10163477,0.60491216,2.9719057,-0.20430781,-0.71616066,0.12127587,0.18659747,0.03172189,-0.5600719
0.1316266,-0.126592,0.11170761,-0.055222154,-0.08656982,0.16928555,2.4129634,-0.40787676,-0.97270155,0.0027197078,0.028755471,0.061512858,-1.002922
0.20535038,-0.12200439,0.086585924,0.060939252,-0.0619348,0.2431422,2.3888683,-0.31910717,-0.9397781,0.011101048,0.06924614,0.031133622,-0.9473698
